sensor_ID,power,signal_strength,malfunction
233,3.16,-67,0
234,3.54,-59,0
235,3.70,-52,0
236,4.04,-78,0
237,4.75,-77,0
238,4.60,-63,0
239,3.04,-75,0
240,3.11,-79,0
241,5.00,-75,0
242,4.99,-79,0
243,4.48,-71,0
244,3.37,-66,0
245,3.41,-69,0
246,3.50,-77,0
247,3.86,-80,0
248,4.64,-54,0
249,4.84,-60,0
250,3.43,-65,0
251,4.76,-62,0
252,4.90,-57,0
253,3.78,-80,0
254,2.36,-74,1
255,3.93,-71,0
256,3.97,-54,0
257,3.76,-77,0
258,3.93,-68,0
259,3.18,-62,0
260,4.27,-53,0
261,3.81,-56,0
262,3.74,-65,0
263,4.54,-72,0
264,4.71,-71,0
265,4.22,-50,0
266,0.13,-52,1
267,0.46,-66,1
268,4.46,-73,0
269,3.37,-62,0
270,3.52,-78,0
271,4.65,-76,0
272,4.36,-77,0
273,4.80,-66,0
274,4.86,-68,0
275,3.21,-73,0
276,3.62,-74,0
277,4.58,-51,0
278,3.34,-63,0
279,4.36,-80,0
280,4.71,-71,0
281,4.61,-77,0
282,4.79,-58,0
283,3.63,-65,0
284,4.18,-70,0
285,4.71,-60,0
286,4.30,-69,0
287,4.22,-65,0
288,3.73,-52,0
289,4.07,-55,0
290,3.81,-51,0
291,3.86,-62,0
292,4.53,-57,0
293,3.72,-68,0
294,3.85,-69,0
295,4.53,-62,0
296,3.48,-64,0
297,4.00,-57,0
298,4.46,-72,0
299,3.43,-62,0
300,3.52,-52,0
301,3.71,-79,0
302,4.34,-67,0
303,3.00,-80,0
304,4.30,-61,0
305,3.35,-57,0
306,4.86,-70,0
307,3.45,-63,0
308,4.20,-69,0
309,4.99,-80,0
310,3.02,-70,0
311,4.56,-71,0
312,4.75,-64,0
313,3.48,-54,0
314,4.60,-53,0
315,4.23,-71,0
316,4.53,-54,0
317,4.50,-50,0
318,4.17,-61,0
319,3.65,-52,0
320,3.44,-65,0
321,4.68,-62,0
322,3.20,-56,0
323,0.58,-80,1
324,3.90,-56,0
325,4.45,-76,0
326,4.39,-75,0
327,3.51,-61,0
328,3.54,-58,0
329,4.92,-63,0
330,3.02,-56,0
331,4.46,-78,0
332,2.54,-54,0
333,4.42,-73,0
334,3.21,-80,0
335,4.18,-61,0
336,3.85,-72,0
337,4.58,-59,0
338,1.35,-65,1
339,3.03,-80,0
340,3.79,-51,0
341,3.41,-68,0
342,4.72,-53,0
343,2.31,-56,1
344,4.42,-80,0
345,4.29,-79,0
346,3.93,-79,0
347,3.05,-67,0
348,4.62,-63,0
349,3.17,-67,0
350,4.76,-58,0
351,3.27,-65,0
352,4.67,-50,0
353,3.72,-76,0
354,3.19,-60,0
355,3.46,-80,0
356,3.51,-65,0
357,4.06,-50,0
358,4.22,-64,0
359,3.42,-76,0
360,4.70,-65,0
361,3.97,-55,0
362,3.77,-76,0
363,3.32,-50,0
364,4.13,-80,0
365,4.18,-64,0
366,4.27,-97,1
367,4.93,-84,0
368,3.00,-54,0
369,3.37,-69,0
370,4.91,-63,0
371,4.76,-69,0
372,4.54,-71,0
373,2.22,-75,1
374,4.65,-58,0
375,4.48,-78,0
376,4.67,-75,0
377,1.90,-66,1
378,4.91,-50,0
379,4.62,-60,0
380,3.08,-57,0
381,4.50,-60,0
382,4.15,-63,0
383,3.90,-67,0
384,3.88,-62,0
385,1.70,-57,1
386,4.88,-51,0
387,3.69,-64,0
388,4.27,-55,0
389,3.79,-54,0
390,3.66,-76,0
391,4.96,-54,0
392,4.99,-76,0
393,3.22,-50,0
394,3.09,-52,0
395,3.77,-75,0
396,3.24,-98,1
397,3.36,-56,0
398,3.89,-80,0
399,3.38,-79,0
400,3.27,-95,1
401,3.55,-71,0
402,3.82,-62,0
403,4.33,-80,0
404,3.89,-56,0
405,3.21,-69,0
406,3.00,-71,0
407,3.04,-73,0
408,3.90,-51,0
409,3.30,-58,0
410,3.79,-51,0
411,3.95,-71,0
412,3.55,-77,0
413,4.30,-64,0
414,2.45,-51,1
415,3.87,-65,0
416,3.20,-51,0
417,3.54,-59,0
418,3.14,-54,0
419,3.91,-54,0
420,4.54,-62,0
421,0.90,-60,1
422,3.94,-59,0
423,4.49,-59,0
424,3.73,-73,0
425,2.37,-72,1
426,4.68,-70,0
427,4.95,-54,0
428,4.93,-59,0
429,3.60,-58,0
430,3.06,-76,0
431,4.97,-71,0
432,3.01,-72,0
433,4.92,-64,0
434,3.18,-67,0
435,4.06,-56,0
436,4.62,-52,0
437,3.65,-60,0
438,4.60,-74,0
439,4.04,-66,0
440,4.98,-64,0
441,4.63,-54,0
442,3.62,-59,0
443,4.76,-67,0
444,4.36,-65,0
445,3.06,-99,1
446,4.12,-71,0
447,3.38,-51,0
448,4.79,-70,0
449,4.27,-62,0
450,4.84,-63,0
451,4.38,-61,0
452,3.61,-78,0
453,4.17,-65,0
454,4.40,-66,0
455,3.49,-74,0
456,3.07,-77,0
457,3.96,-82,0
458,4.36,-80,0
459,3.53,-73,0
460,3.22,-55,0
461,3.57,-65,0
462,3.98,-54,0
463,3.52,-50,0
464,4.01,-54,0
465,3.96,-52,0
466,3.42,-53,0
467,4.38,-74,0
468,3.47,-66,0
469,3.62,-76,0
470,3.19,-55,0
471,4.64,-53,0
472,3.80,-79,0
473,4.94,-55,0
474,3.38,-77,0
475,3.95,-68,0
476,3.44,-71,0
477,4.31,-69,0
478,4.14,-63,0
479,3.37,-61,0
480,4.14,-61,0
481,3.49,-68,0
482,4.03,-77,0
483,3.43,-59,0
484,4.79,-68,0
485,3.04,-64,0
486,3.91,-56,0
487,3.35,-65,0
488,4.02,-71,0
489,4.79,-67,0
490,3.24,-65,0
491,3.82,-60,0
492,4.87,-63,0
493,4.59,-54,0
494,3.10,-78,0
495,3.00,-68,0
496,3.44,-68,0
497,4.05,-52,0
498,4.34,-68,0
499,3.68,-62,0
500,4.85,-61,0
501,4.23,-69,0
502,3.18,-75,0
503,3.04,-70,0
504,3.85,-75,0
505,3.89,-71,0
506,4.76,-66,0
507,4.51,-78,0
508,3.73,-67,0
509,3.78,-56,0
510,1.27,-75,1
511,3.04,-57,0
512,2.32,-72,1
513,4.90,-57,0
514,4.09,-51,0
515,4.36,-63,0
516,4.56,-59,0
517,4.35,-76,0
518,3.76,-99,1
519,3.84,-68,0
520,4.70,-73,0
521,4.87,-55,0
522,4.26,-79,0
523,2.99,-54,0
524,4.00,-61,0
525,4.24,-53,0
526,4.64,-77,0
527,4.17,-64,0
528,3.92,-61,0
529,3.67,-65,0
530,3.30,-70,0
531,4.94,-96,1
532,3.67,-70,0
533,4.63,-62,0
534,3.90,-71,0
535,3.36,-77,0
536,3.20,-93,1
537,4.91,-62,0
538,4.27,-77,0
539,4.55,-70,0
540,3.01,-59,0
541,3.35,-69,0
542,4.78,-58,0
543,4.08,-64,0
544,4.66,-52,0
545,4.23,-60,0
546,3.48,-69,0
547,3.39,-52,0
548,3.19,-56,0
549,4.88,-75,0
550,4.88,-55,0
551,3.27,-68,0
552,4.68,-58,0
553,4.60,-72,0
554,4.00,-65,0
555,3.92,-79,0
556,4.57,-54,0
557,4.73,-52,0
558,3.73,-74,0
559,3.97,-62,0
560,4.76,-61,0
561,4.63,-53,0
562,3.15,-76,0
563,4.79,-73,0
564,4.67,-57,0
565,3.66,-52,0
566,4.17,-56,0
567,4.63,-68,0
568,4.16,-60,0
569,3.96,-79,0
570,3.30,-54,0
571,4.56,-66,0
572,3.23,-63,0
573,3.49,-52,0
574,4.77,-64,0
575,2.64,-75,0
576,3.14,-58,0
577,3.17,-75,0
578,3.38,-59,0
579,1.64,-60,1
580,3.67,-58,0
581,3.59,-51,0
582,3.82,-51,0
583,4.03,-79,0
584,4.33,-55,0
585,4.17,-76,0
586,4.16,-69,0
587,4.39,-63,0
588,4.88,-59,0
589,4.50,-80,0
590,3.02,-67,0
591,3.50,-73,0
592,0.89,-61,1
593,4.94,-67,0
594,3.08,-58,0
595,4.79,-92,1
596,3.48,-62,0
597,3.94,-76,0
598,4.32,-50,0
599,3.13,-68,0
600,3.94,-91,1
601,4.58,-72,0
602,4.74,-80,0
603,3.65,-98,1
604,4.39,-72,0
605,3.11,-51,0
606,4.55,-53,0
607,4.20,-57,0
608,3.52,-53,0
609,3.28,-55,0
610,4.26,-56,0
611,4.09,-51,0
612,4.65,-59,0
613,3.28,-69,0
614,4.89,-70,0
615,3.47,-66,0
616,3.30,-53,0
617,4.37,-61,0
618,3.39,-55,0
619,4.17,-78,0
620,3.75,-74,0
621,3.58,-69,0
622,3.86,-70,0
623,4.29,-80,0
624,3.26,-58,0
625,4.56,-64,0
626,3.61,-67,0
627,4.92,-64,0
628,4.91,-68,0
629,4.20,-78,0
630,4.72,-60,0
631,3.59,-58,0
632,3.80,-69,0
633,3.81,-61,0
634,4.87,-58,0
635,4.96,-70,0
636,5.00,-56,0
637,4.75,-79,0
638,2.50,-56,0
639,4.83,-54,0
640,3.12,-76,0
641,4.36,-79,0
642,4.39,-71,0
643,3.31,-55,0
644,4.05,-69,0
645,0.03,-66,1
646,3.09,-62,0
647,4.52,-64,0
648,3.68,-99,1
649,4.52,-68,0
650,3.80,-72,0
651,4.32,-67,0
652,3.01,-62,0
653,3.67,-52,0
654,3.47,-68,0
655,4.47,-51,0
656,4.62,-61,0
657,4.28,-70,0
658,3.44,-56,0
659,3.39,-59,0
660,4.50,-68,0
661,4.90,-69,0
662,3.84,-68,0
663,3.16,-58,0
664,3.38,-78,0
665,4.07,-70,0
666,3.98,-63,0
667,4.52,-72,0
668,3.67,-67,0
669,4.68,-76,0
670,4.22,-91,1
671,4.22,-77,0
672,4.68,-80,0
673,3.02,-58,0
674,4.77,-74,0
675,4.89,-54,0
676,3.10,-74,0
677,4.89,-72,0
678,4.90,-74,0
679,4.72,-51,0
680,3.66,-78,0
681,4.11,-52,0
682,4.38,-78,0
683,4.01,-63,0
684,3.30,-59,0
685,3.78,-77,0
686,3.97,-79,0
687,4.52,-95,1
688,4.88,-66,0
689,3.79,-72,0
690,4.33,-64,0
691,4.88,-79,0
692,4.18,-58,0
693,3.34,-66,0
694,3.03,-76,0
695,3.17,-50,0
696,3.51,-68,0
697,3.66,-71,0
698,3.06,-68,0
699,3.83,-62,0
700,4.38,-56,0
701,4.83,-64,0
702,4.18,-62,0
703,3.51,-58,0
704,3.34,-80,0
705,3.17,-78,0
706,3.62,-75,0
707,4.24,-76,0
708,3.27,-54,0
709,3.46,-51,0
710,3.77,-52,0
711,3.12,-57,0
712,4.68,-76,0
713,3.60,-62,0
714,2.58,-51,0
715,4.07,-60,0
716,3.62,-57,0
717,3.76,-54,0
718,4.28,-63,0
719,4.63,-78,0
720,3.01,-64,0
721,4.21,-75,0
722,3.52,-51,0
723,4.32,-71,0
724,3.35,-65,0
725,3.03,-52,0
726,0.33,-58,1
727,3.26,-64,0
728,4.72,-63,0
729,3.37,-62,0
730,4.10,-79,0
731,3.80,-51,0
732,4.78,-84,0
733,3.25,-55,0
734,2.04,-77,1
735,4.10,-65,0
736,4.79,-75,0
737,4.47,-67,0
738,3.68,-75,0
739,4.92,-76,0
740,3.20,-66,0
741,3.38,-74,0
742,4.39,-51,0
743,4.80,-70,0
744,3.81,-73,0
745,3.28,-80,0
746,3.59,-63,0
747,3.71,-77,0
748,4.12,-78,0
749,4.75,-55,0
750,3.06,-61,0
751,4.24,-76,0
752,4.39,-51,0
753,3.57,-69,0
754,3.60,-70,0
755,4.83,-80,0
756,4.43,-69,0
757,3.62,-52,0
758,2.19,-72,1
759,4.37,-53,0
760,4.54,-64,0
761,3.81,-59,0
762,4.00,-78,0
763,4.01,-58,0
764,2.74,-68,0
765,4.54,-78,0
766,4.38,-86,1
767,4.24,-72,0
768,3.46,-69,0
769,3.56,-62,0
770,3.79,-59,0
771,4.11,-76,0
772,3.18,-57,0
773,3.48,-75,0
774,4.99,-68,0
775,4.52,-59,0
776,3.84,-62,0
777,4.68,-58,0
778,3.59,-56,0
779,3.08,-61,0
780,4.38,-77,0
781,4.47,-57,0
782,3.82,-67,0
783,3.53,-79,0
784,3.73,-73,0
785,4.67,-60,0
786,4.92,-62,0
787,4.22,-75,0
788,3.13,-72,0
789,4.62,-66,0
790,3.59,-50,0
791,4.36,-79,0
792,3.41,-64,0
793,3.36,-62,0
794,3.42,-54,0
795,4.24,-63,0
796,4.21,-79,0
797,4.47,-78,0
798,4.04,-65,0
799,4.51,-58,0
800,4.06,-61,0
801,4.25,-77,0
802,3.94,-72,0
803,3.61,-71,0
804,3.20,-79,0
805,0.42,-72,1
806,3.06,-56,0
807,3.30,-75,0
808,0.28,-68,1
809,4.14,-56,0
810,4.57,-72,0
811,4.05,-63,0
812,4.35,-70,0
813,4.06,-50,0
814,1.61,-78,1
815,4.13,-62,0
816,3.84,-50,0
817,4.25,-59,0
818,3.75,-79,0
819,4.34,-50,0
820,4.14,-59,0
821,4.52,-72,0
822,4.53,-70,0
823,4.20,-63,0
824,4.80,-56,0
825,3.81,-58,0
826,4.18,-67,0
827,3.02,-80,0
828,3.56,-66,0
829,3.86,-56,0
830,3.09,-60,0
831,2.50,-54,0
832,4.76,-56,0
833,4.14,-50,0
834,3.13,-59,0
835,4.80,-73,0
836,3.84,-75,0
837,1.55,-79,1
838,3.91,-79,0
839,4.32,-56,0
840,4.79,-75,0
841,4.02,-83,0
842,3.76,-55,0
843,0.53,-70,1
844,4.73,-80,0
845,3.80,-72,0
846,4.96,-91,1
847,4.62,-64,0
848,4.07,-51,0
849,3.98,-58,0
850,3.25,-64,0
851,3.36,-68,0
852,4.30,-68,0
853,4.12,-72,0
854,3.57,-65,0
855,4.99,-53,0
856,4.01,-68,0
857,3.80,-75,0
858,3.90,-76,0
859,3.90,-70,0
860,4.51,-76,0
861,4.26,-70,0
862,3.16,-78,0
863,4.44,-59,0
864,4.24,-55,0
865,3.77,-66,0
866,2.41,-62,1
867,4.56,-60,0
868,0.39,-63,1
869,3.38,-85,0
870,4.79,-100,1
871,2.56,-74,0
872,4.08,-62,0
873,3.84,-76,0
874,4.67,-68,0
875,3.97,-79,0
876,4.91,-57,0
877,3.61,-64,0
878,1.61,-52,1
879,3.42,-65,0
880,3.99,-62,0
881,4.28,-80,0
882,3.98,-80,0
883,4.13,-77,0
884,4.84,-53,0
885,3.60,-73,0
886,4.81,-73,0
887,4.51,-60,0
888,4.19,-62,0
889,3.45,-62,0
890,4.60,-62,0
891,4.95,-68,0
892,4.14,-61,0
893,3.32,-54,0
894,3.05,-68,0
895,3.86,-55,0
896,3.35,-52,0
897,3.98,-60,0
898,4.20,-58,0
899,3.68,-61,0
900,4.07,-77,0
901,3.08,-60,0
902,4.54,-57,0
903,3.42,-92,1
904,4.25,-52,0
905,4.80,-54,0
906,3.65,-53,0
907,3.51,-55,0
908,3.20,-52,0
909,4.82,-63,0
910,4.11,-74,0
911,3.91,-65,0
912,3.83,-77,0
913,3.74,-56,0
914,3.46,-65,0
915,1.95,-72,1
916,3.21,-75,0
917,4.12,-57,0
918,3.17,-60,0
919,4.15,-59,0
920,3.00,-56,0
921,4.21,-78,0
922,4.24,-77,0
923,4.66,-74,0
924,4.41,-60,0
925,0.75,-51,1
926,4.19,-52,0
927,4.87,-51,0
928,3.13,-76,0
929,3.22,-64,0
930,4.27,-78,0
931,4.47,-69,0
932,0.47,-56,1
933,3.31,-55,0
934,4.79,-50,0
935,4.30,-74,0
936,3.44,-50,0
937,4.52,-67,0
938,4.05,-64,0
939,3.21,-72,0
940,3.82,-73,0
941,4.25,-68,0
942,3.04,-66,0
943,3.86,-50,0
944,4.14,-87,1
945,3.57,-52,0
946,3.31,-55,0
947,4.11,-58,0
948,3.61,-67,0
949,4.07,-60,0
950,3.48,-74,0
951,3.16,-65,0
952,3.62,-58,0
953,3.11,-68,0
954,1.18,-79,1
955,4.55,-70,0
956,3.15,-79,0
957,4.06,-51,0
958,3.52,-74,0
959,3.37,-55,0
960,4.06,-54,0
961,4.83,-56,0
962,4.62,-59,0
963,0.52,-75,1
964,4.67,-87,1
965,4.11,-75,0
966,4.88,-66,0
967,3.50,-78,0
968,3.45,-64,0
969,3.77,-59,0
970,3.93,-80,0
971,4.31,-93,1
972,3.06,-69,0
973,4.08,-72,0
974,4.96,-53,0
975,3.15,-79,0
976,4.05,-90,1
977,4.30,-52,0
978,3.90,-88,1
979,4.95,-53,0
980,4.59,-53,0
981,3.30,-51,0
982,4.69,-55,0
983,3.74,-73,0
984,3.99,-64,0
985,3.18,-56,0
986,3.81,-67,0
987,3.32,-58,0
988,4.10,-53,0
989,3.52,-55,0
990,3.64,-71,0
991,3.25,-62,0
992,3.88,-53,0
993,3.15,-62,0
994,4.76,-79,0
995,3.03,-52,0
996,4.54,-62,0
997,4.88,-63,0
998,4.59,-53,0
999,4.14,-66,0
1000,4.65,-63,0
